Time,PM 1.0 Std,PM 2.5 Std,PM 10 Std.,PM 1.0 Env,PM 2.5 Env,PM 10 Env,> 0.3 um,> 0.5 um,> 1 um,> 2.5 um,> 5 um,> 10 um,Temp (C),Humidity (%)
2024-04-18 21:20:31.826871,1,2,3,1,2,3,363,101,10,2,2,0,24.51479980468749,39.368194580078125
2024-04-18 21:20:33.966035,1,2,3,1,2,3,336,95,14,2,2,0,24.51479980468749,39.406341552734375
2024-04-18 21:20:36.105775,0,1,2,0,1,2,354,99,14,2,2,0,24.525524902343754,39.375823974609375
2024-04-18 21:20:38.246126,0,1,2,0,1,2,378,107,14,2,2,0,24.51479980468749,39.375823974609375
2024-04-18 21:20:40.386843,0,1,2,0,1,2,378,116,14,2,2,0,24.525524902343754,39.375823974609375
2024-04-18 21:20:42.527254,0,1,2,0,1,2,318,99,10,2,2,0,24.51479980468749,39.383453369140625
2024-04-18 21:20:44.667659,0,0,2,0,0,2,330,103,8,2,2,0,24.51479980468749,39.383453369140625
2024-04-18 21:20:46.807963,0,0,1,0,0,1,291,90,6,2,2,0,24.51479980468749,39.375823974609375
2024-04-18 21:20:48.948344,0,0,0,0,0,0,318,99,4,0,0,0,24.504074707031243,39.337677001953125
2024-04-18 21:20:51.088604,0,0,0,0,0,0,336,103,2,0,0,0,24.504074707031243,39.360565185546875
2024-04-18 21:20:53.228854,1,1,2,1,1,2,318,96,4,2,2,0,24.51479980468749,39.352935791015625
2024-04-18 21:20:55.368959,0,0,1,0,0,1,306,92,4,2,2,0,24.51479980468749,39.322418212890625
2024-04-18 21:20:57.509009,0,0,1,0,0,1,258,77,4,2,2,0,24.504074707031243,39.314788818359375
2024-04-18 21:20:59.649088,0,0,1,0,0,1,291,85,4,2,2,0,24.525524902343754,39.299530029296875
2024-04-18 21:21:01.789226,0,0,1,0,0,1,294,86,8,2,2,0,24.525524902343754,39.322418212890625
2024-04-18 21:21:03.929269,0,0,1,0,0,1,294,86,8,2,2,0,24.525524902343754,39.314788818359375
2024-04-18 21:21:06.069302,0,0,1,0,0,1,267,77,8,2,2,0,24.51479980468749,39.307159423828125
2024-04-18 21:21:08.209483,0,0,2,0,0,2,267,79,12,2,2,0,24.51479980468749,39.299530029296875
2024-04-18 21:21:10.349514,0,0,2,0,0,2,261,78,12,2,2,0,24.504074707031243,39.291900634765625
2024-04-18 21:21:12.489573,0,0,2,0,0,2,267,80,12,2,2,0,24.51479980468749,39.269012451171875
2024-04-18 21:21:14.629596,0,0,2,0,0,2,267,84,12,2,2,0,24.51479980468749,39.253753662109375
2024-04-18 21:21:16.769660,0,0,2,0,0,2,267,87,12,2,2,0,24.51479980468749,39.238494873046875
2024-04-18 21:21:18.910077,0,0,2,0,0,2,279,84,8,2,2,0,24.504074707031243,39.238494873046875
2024-04-18 21:21:21.050187,0,0,2,0,0,2,306,91,12,2,2,0,24.525524902343754,39.230865478515625
2024-04-18 21:21:23.190439,0,0,2,0,0,2,288,85,12,2,2,0,24.51479980468749,39.238494873046875
2024-04-18 21:21:25.330655,0,0,1,0,0,1,324,92,6,2,2,0,24.51479980468749,39.238494873046875
2024-04-18 21:21:27.470919,0,0,0,0,0,0,351,101,8,0,0,0,24.504074707031243,39.238494873046875
2024-04-18 21:21:29.611078,0,0,0,0,0,0,384,110,8,0,0,0,24.51479980468749,39.238494873046875
2024-04-18 21:21:31.751233,0,1,3,0,1,3,432,123,14,2,2,2,24.493349609374995,39.223236083984375
2024-04-18 21:21:33.891277,0,1,3,0,1,3,417,116,16,2,2,2,24.51479980468749,39.230865478515625
2024-04-18 21:21:36.031464,0,1,3,0,1,3,417,123,20,2,2,2,24.504074707031243,39.223236083984375
2024-04-18 21:21:38.171689,0,1,3,0,1,3,423,125,18,2,2,2,24.51479980468749,39.238494873046875
2024-04-18 21:21:40.311746,0,2,4,0,2,4,462,138,24,2,2,2,24.51479980468749,39.230865478515625
2024-04-18 21:21:42.451822,1,3,5,1,3,5,411,128,26,2,2,2,24.504074707031243,39.223236083984375
2024-04-18 21:21:44.592010,1,3,5,1,3,5,396,123,24,4,2,2,24.504074707031243,39.230865478515625
2024-04-18 21:21:46.732112,1,3,7,1,3,7,411,130,28,6,4,2,24.504074707031243,39.230865478515625
2024-04-18 21:21:48.872180,1,3,5,1,3,5,384,124,26,4,2,0,24.504074707031243,39.230865478515625
2024-04-18 21:21:51.012362,1,3,5,1,3,5,366,120,28,4,2,0,24.504074707031243,39.223236083984375
2024-04-18 21:21:53.152437,1,3,4,1,3,4,324,106,24,4,2,0,24.51479980468749,39.230865478515625
2024-04-18 21:21:55.292635,1,3,6,1,3,6,303,101,24,6,4,2,24.51479980468749,39.223236083984375
2024-04-18 21:21:57.432677,1,2,6,1,2,6,318,106,20,8,6,2,24.493349609374995,39.223236083984375
2024-04-18 21:21:59.572752,1,2,6,1,2,6,360,116,18,8,6,2,24.504074707031243,39.246124267578125
2024-04-18 21:22:01.712802,1,2,6,1,2,6,354,114,16,6,6,2,24.51479980468749,39.230865478515625
2024-04-18 21:22:03.852960,1,1,4,1,1,4,321,103,12,4,4,2,24.51479980468749,39.223236083984375
2024-04-18 21:22:05.993006,2,2,5,2,2,5,387,123,10,4,4,2,24.493349609374995,39.223236083984375
2024-04-18 21:22:08.133110,2,2,5,2,2,5,420,131,6,4,4,2,24.493349609374995,39.223236083984375
2024-04-18 21:22:10.273183,2,2,5,2,2,5,453,138,6,4,4,2,24.504074707031243,39.215606689453125
2024-04-18 21:22:12.413273,2,2,3,2,2,3,480,143,10,2,2,0,24.504074707031243,39.200347900390625
2024-04-18 21:22:14.553413,2,2,2,2,2,2,453,134,12,0,0,0,24.493349609374995,39.200347900390625
2024-04-18 21:22:16.693533,1,2,2,1,2,2,372,111,12,0,0,0,24.493349609374995,39.223236083984375
2024-04-18 21:22:18.833776,2,2,3,2,2,3,411,124,18,2,2,0,24.51479980468749,39.215606689453125
2024-04-18 21:22:20.973877,2,2,3,2,2,3,396,119,18,2,2,0,24.504074707031243,39.215606689453125
2024-04-18 21:22:23.114013,1,1,5,1,1,5,309,95,18,4,4,2,24.504074707031243,39.215606689453125
2024-04-18 21:22:25.254152,1,1,5,1,1,5,309,95,18,4,4,2,24.504074707031243,39.207977294921875
2024-04-18 21:22:27.394233,1,2,5,1,2,5,303,95,20,4,4,2,24.51479980468749,39.207977294921875
2024-04-18 21:22:29.534366,1,1,4,1,1,4,276,90,14,4,4,2,24.504074707031243,39.200347900390625
2024-04-18 21:22:31.674620,1,1,6,1,1,6,303,95,16,6,6,2,24.51479980468749,39.200347900390625
2024-04-18 21:22:33.814878,1,2,6,1,2,6,330,104,20,6,6,2,24.504074707031243,39.200347900390625
2024-04-18 21:22:35.955064,1,2,5,1,2,5,324,102,22,4,4,2,24.51479980468749,39.192718505859375
2024-04-18 21:22:38.095192,1,2,5,1,2,5,345,107,24,4,4,2,24.525524902343754,39.177459716796875
2024-04-18 21:22:40.235357,1,2,5,1,2,5,378,118,24,4,4,0,24.525524902343754,39.177459716796875
2024-04-18 21:22:42.375436,1,2,5,1,2,5,387,121,28,4,4,0,24.51479980468749,39.169830322265625
2024-04-18 21:22:44.515520,2,3,6,2,3,6,420,134,37,4,4,0,24.525524902343754,39.185089111328125
2024-04-18 21:22:46.655655,2,3,6,2,3,6,420,134,37,4,4,0,24.504074707031243,39.177459716796875
2024-04-18 21:22:48.795761,2,4,5,2,4,5,453,149,43,2,2,0,24.51479980468749,39.192718505859375
2024-04-18 21:22:50.935842,2,4,5,2,4,5,441,143,41,2,2,0,24.504074707031243,39.177459716796875
2024-04-18 21:22:53.075949,2,4,5,2,4,5,468,152,39,2,2,0,24.51479980468749,39.169830322265625
2024-04-18 21:22:55.216200,2,4,5,2,4,5,489,161,39,2,2,0,24.525524902343754,39.162200927734375
2024-04-18 21:22:57.356291,3,5,5,3,5,5,534,174,43,0,0,0,24.51479980468749,39.162200927734375
2024-04-18 21:22:59.496382,3,5,5,3,5,5,552,178,43,0,0,0,24.504074707031243,39.185089111328125
2024-04-18 21:23:01.636597,2,4,4,2,4,4,492,156,32,0,0,0,24.51479980468749,39.200347900390625
2024-04-18 21:23:03.776725,2,4,4,2,4,4,501,159,34,0,0,0,24.504074707031243,39.192718505859375
2024-04-18 21:23:05.916820,2,3,3,2,3,3,459,145,24,0,0,0,24.525524902343754,39.177459716796875
2024-04-18 21:23:08.056910,2,3,3,2,3,3,459,147,22,0,0,0,24.51479980468749,39.207977294921875
2024-04-18 21:23:10.197021,2,3,3,2,3,3,438,140,18,0,0,0,24.51479980468749,39.230865478515625
2024-04-18 21:23:12.337130,1,2,2,1,2,2,384,117,18,0,0,0,24.51479980468749,39.246124267578125
2024-04-18 21:23:14.477206,1,2,4,1,2,4,399,124,20,2,2,2,24.51479980468749,39.261383056640625
2024-04-18 21:23:16.617287,1,2,4,1,2,4,372,117,16,2,2,2,24.51479980468749,39.276641845703125
2024-04-18 21:23:18.757463,1,2,4,1,2,4,372,119,18,2,2,2,24.51479980468749,39.261383056640625
2024-04-18 21:23:20.897543,2,3,5,2,3,5,438,135,22,2,2,2,24.525524902343754,39.246124267578125
2024-04-18 21:23:23.037791,2,3,5,2,3,5,417,126,24,2,2,2,24.504074707031243,39.284271240234375
2024-04-18 21:23:25.178056,2,3,5,2,3,5,402,121,28,2,2,2,24.51479980468749,39.284271240234375
2024-04-18 21:23:27.318150,2,3,4,2,3,4,375,112,28,2,2,2,24.51479980468749,39.291900634765625
2024-04-18 21:23:29.458316,2,2,4,2,2,4,333,99,20,2,2,2,24.504074707031243,39.291900634765625
2024-04-18 21:23:31.598509,2,2,2,2,2,2,324,96,20,0,0,0,24.51479980468749,39.261383056640625
2024-04-18 21:23:33.738650,2,2,2,2,2,2,333,99,20,0,0,0,24.51479980468749,39.238494873046875
2024-04-18 21:23:35.878957,2,2,2,2,2,2,354,106,24,0,0,0,24.525524902343754,39.246124267578125
2024-04-18 21:23:38.019199,1,1,1,1,1,1,270,84,18,0,0,0,24.51479980468749,39.261383056640625
2024-04-18 21:23:40.159271,1,1,1,1,1,1,270,86,16,0,0,0,24.525524902343754,39.261383056640625
2024-04-18 21:23:42.299535,1,1,1,1,1,1,270,86,12,0,0,0,24.51479980468749,39.261383056640625
2024-04-18 21:23:44.439700,1,1,1,1,1,1,285,91,12,0,0,0,24.525524902343754,39.291900634765625
2024-04-18 21:23:46.579754,2,2,2,2,2,2,336,112,18,0,0,0,24.51479980468749,39.314788818359375
2024-04-18 21:23:48.719919,1,2,2,1,2,2,309,103,16,0,0,0,24.51479980468749,39.307159423828125
2024-04-18 21:23:50.860013,1,2,2,1,2,2,309,103,16,0,0,0,24.51479980468749,39.330047607421875
2024-04-18 21:23:53.000132,1,1,1,1,1,1,294,96,10,0,0,0,24.51479980468749,39.352935791015625
2024-04-18 21:23:55.140319,1,2,2,1,2,2,327,102,10,0,0,0,24.525524902343754,39.322418212890625
2024-04-18 21:23:57.280378,1,1,1,1,1,1,321,100,8,0,0,0,24.51479980468749,39.291900634765625
2024-04-18 21:23:59.420489,2,2,2,2,2,2,363,109,10,0,0,0,24.525524902343754,39.291900634765625
2024-04-18 21:24:01.560568,1,2,2,1,2,2,363,107,12,0,0,0,24.525524902343754,39.284271240234375
2024-04-18 21:24:03.700656,1,2,2,1,2,2,375,111,12,0,0,0,24.525524902343754,39.284271240234375
2024-04-18 21:24:05.840851,2,2,2,2,2,2,390,116,14,0,0,0,24.525524902343754,39.284271240234375
2024-04-18 21:24:07.980934,2,2,2,2,2,2,402,118,14,0,0,0,24.536250000000003,39.314788818359375
2024-04-18 21:24:10.121108,2,2,2,2,2,2,435,127,16,0,0,0,24.536250000000003,39.314788818359375
2024-04-18 21:24:12.261182,2,3,3,2,3,3,429,130,22,0,0,0,24.536250000000003,39.307159423828125
2024-04-18 21:24:14.401207,2,3,3,2,3,3,450,137,24,0,0,0,24.525524902343754,39.307159423828125
2024-04-18 21:24:16.541644,1,3,3,1,3,3,402,126,22,0,0,0,24.51479980468749,39.307159423828125
2024-04-18 21:24:18.683443,0,1,1,0,1,1,351,111,22,0,0,0,24.525524902343754,39.307159423828125
2024-04-18 21:24:20.825036,1,2,2,1,2,2,339,104,20,0,0,0,24.525524902343754,39.322418212890625
2024-04-18 21:24:22.965774,1,2,2,1,2,2,339,102,18,0,0,0,24.51479980468749,39.337677001953125
2024-04-18 21:24:25.106508,1,2,2,1,2,2,339,104,22,0,0,0,24.525524902343754,39.368194580078125
2024-04-18 21:24:27.246638,0,2,2,0,2,2,408,127,26,2,0,0,24.525524902343754,39.352935791015625
2024-04-18 21:24:29.386974,0,2,2,0,2,2,393,122,24,2,0,0,24.51479980468749,39.345306396484375
2024-04-18 21:24:31.527427,1,3,3,1,3,3,384,119,22,2,0,0,24.51479980468749,39.345306396484375
2024-04-18 21:24:33.668460,1,3,3,1,3,3,405,126,22,2,0,0,24.504074707031243,39.337677001953125
2024-04-18 21:24:35.808584,2,3,3,2,3,3,462,141,16,2,0,0,24.504074707031243,39.345306396484375
2024-04-18 21:24:37.948698,2,3,3,2,3,3,435,135,16,2,0,0,24.493349609374995,39.375823974609375
2024-04-18 21:24:40.088758,2,3,3,2,3,3,462,144,18,2,0,0,24.51479980468749,39.352935791015625
2024-04-18 21:24:42.228933,2,3,3,2,3,3,468,140,14,2,0,0,24.51479980468749,39.360565185546875
2024-04-18 21:24:44.369115,0,1,1,0,1,1,378,114,10,0,0,0,24.525524902343754,39.368194580078125
2024-04-18 21:24:46.509182,0,1,1,0,1,1,351,105,6,0,0,0,24.51479980468749,39.352935791015625
2024-04-18 21:24:48.649578,1,2,2,1,2,2,345,103,6,0,0,0,24.51479980468749,39.352935791015625
2024-04-18 21:24:50.790836,0,0,0,0,0,0,243,71,6,0,0,0,24.51479980468749,39.383453369140625
2024-04-18 21:24:52.930999,0,0,0,0,0,0,255,77,6,0,0,0,24.525524902343754,39.375823974609375
2024-04-18 21:24:55.071142,0,0,0,0,0,0,282,86,8,0,0,0,24.504074707031243,39.368194580078125
2024-04-18 21:24:57.211321,1,1,3,1,1,3,294,92,10,2,2,0,24.51479980468749,39.375823974609375
2024-04-18 21:24:59.351402,0,0,1,0,0,1,276,89,8,2,2,0,24.493349609374995,39.406341552734375
2024-04-18 21:25:01.491532,0,0,1,0,0,1,258,83,8,2,2,0,24.504074707031243,39.421600341796875
2024-04-18 21:25:03.631684,1,1,2,1,1,2,273,85,8,2,2,0,24.493349609374995,39.436859130859375
2024-04-18 21:25:05.771891,1,1,2,1,1,2,273,85,8,2,2,0,24.493349609374995,39.436859130859375
2024-04-18 21:25:07.911987,1,1,2,1,1,2,282,88,10,2,2,0,24.504074707031243,39.429229736328125
2024-04-18 21:25:10.052220,1,1,2,1,1,2,282,88,10,2,2,0,24.504074707031243,39.421600341796875
2024-04-18 21:25:12.192388,0,0,1,0,0,1,273,85,10,2,2,0,24.493349609374995,39.429229736328125
2024-04-18 21:25:14.332448,0,0,1,0,0,1,261,79,8,2,2,0,24.493349609374995,39.429229736328125
2024-04-18 21:25:16.472535,1,1,2,1,1,2,240,73,8,2,2,0,24.493349609374995,39.429229736328125
2024-04-18 21:25:18.612685,0,0,3,0,0,3,300,93,10,4,4,2,24.493349609374995,39.406341552734375
2024-04-18 21:25:20.752749,0,0,4,0,0,4,327,105,12,4,4,2,24.482624511718747,39.398712158203125
2024-04-18 21:25:22.892854,0,1,4,0,1,4,333,107,16,4,4,2,24.504074707031243,39.413970947265625
2024-04-18 21:25:25.033010,1,1,4,1,1,4,420,132,14,4,4,2,24.504074707031243,39.429229736328125
2024-04-18 21:25:27.173078,2,2,5,2,2,5,426,134,16,4,4,2,24.493349609374995,39.429229736328125
2024-04-18 21:25:29.313264,3,3,7,3,3,7,555,175,18,4,4,2,24.504074707031243,39.421600341796875
2024-04-18 21:25:31.453311,3,3,5,3,3,5,522,166,16,2,2,2,24.493349609374995,39.436859130859375
2024-04-18 21:25:33.593349,2,3,5,2,3,5,603,193,22,2,2,2,24.504074707031243,39.452117919921875
2024-04-18 21:25:35.733406,3,4,4,3,4,4,549,175,20,0,0,0,24.482624511718747,39.444488525390625
2024-04-18 21:25:37.873513,3,3,3,3,3,3,513,163,18,0,0,0,24.493349609374995,39.444488525390625
2024-04-18 21:25:40.013689,3,4,4,3,4,4,636,199,14,0,0,0,24.493349609374995,39.459747314453125
2024-04-18 21:25:42.153775,3,3,3,3,3,3,627,196,16,0,0,0,24.482624511718747,39.452117919921875
2024-04-18 21:25:44.293842,2,3,3,2,3,3,621,194,14,0,0,0,24.482624511718747,39.452117919921875
2024-04-18 21:25:46.434486,2,3,3,2,3,3,528,162,12,0,0,0,24.482624511718747,39.436859130859375
2024-04-18 21:25:48.574836,1,1,1,1,1,1,480,144,12,0,0,0,24.493349609374995,39.452117919921875
2024-04-18 21:25:50.714945,1,1,1,1,1,1,453,131,10,0,0,0,24.482624511718747,39.459747314453125
2024-04-18 21:25:52.855230,2,2,2,2,2,2,486,142,12,0,0,0,24.482624511718747,39.475006103515625
2024-04-18 21:25:54.995365,1,1,1,1,1,1,480,140,14,0,0,0,24.4718994140625,39.482635498046875
2024-04-18 21:25:57.135655,1,1,1,1,1,1,291,86,12,0,0,0,24.493349609374995,39.490264892578125
2024-04-18 21:25:59.275769,0,1,1,0,1,1,264,77,12,0,0,0,24.482624511718747,39.490264892578125
2024-04-18 21:26:01.415965,0,0,2,0,0,2,279,82,18,2,2,2,24.482624511718747,39.475006103515625
2024-04-18 21:26:03.556123,1,1,3,1,1,3,258,76,16,2,2,2,24.482624511718747,39.452117919921875
2024-04-18 21:26:05.696241,0,0,2,0,0,2,264,80,16,2,2,2,24.493349609374995,39.467376708984375
2024-04-18 21:26:07.836373,0,1,4,0,1,4,300,98,20,4,4,2,24.482624511718747,39.475006103515625
2024-04-18 21:26:09.976473,1,2,5,1,2,5,300,98,18,4,4,2,24.4718994140625,39.459747314453125
2024-04-18 21:26:12.116747,0,1,4,0,1,4,321,103,18,4,4,2,24.4718994140625,39.459747314453125
2024-04-18 21:26:14.256801,1,2,5,1,2,5,402,130,30,4,4,2,24.493349609374995,39.475006103515625
2024-04-18 21:26:16.397004,1,2,5,1,2,5,402,130,32,4,4,2,24.482624511718747,39.490264892578125
2024-04-18 21:26:18.537106,2,3,4,2,3,4,402,130,28,2,2,0,24.482624511718747,39.497894287109375
2024-04-18 21:26:20.677177,2,3,4,2,3,4,381,125,28,2,2,0,24.4718994140625,39.490264892578125
2024-04-18 21:26:22.817263,1,2,3,1,2,3,462,150,30,2,2,0,24.482624511718747,39.490264892578125
2024-04-18 21:26:24.957428,2,3,3,2,3,3,420,136,30,0,0,0,24.482624511718747,39.482635498046875
2024-04-18 21:26:27.097503,1,2,2,1,2,2,414,131,32,0,0,0,24.482624511718747,39.490264892578125
2024-04-18 21:26:29.237730,1,2,2,1,2,2,375,118,32,0,0,0,24.493349609374995,39.490264892578125
2024-04-18 21:26:31.377820,2,3,3,2,3,3,408,129,32,0,0,0,24.493349609374995,39.490264892578125
2024-04-18 21:26:33.518148,1,3,5,1,3,5,489,154,34,2,2,2,24.482624511718747,39.520782470703125
2024-04-18 21:26:35.658481,1,3,5,1,3,5,480,151,34,2,2,2,24.482624511718747,39.520782470703125
2024-04-18 21:26:37.798672,1,2,7,1,2,7,480,149,36,6,6,4,24.482624511718747,39.543670654296875
